"Year","Anglian","Argyll","Clyde","Dee","Forth","Humber","NeaghBann","NorthEastScotland","NorthEasternIreland","NorthHighland","NorthWestEngland","NorthWesternIreland","Northumbria","OrkneyandShetlands","Severn","Solway","SouthEastEngland","SouthWestEngland","Tay","Thames","Tweed","WestHighland","WesternWales"
2061,28.8753776550293,56.748462677002,39.4841194152832,62.7504501342773,37.0523681640625,40.2127380371094,48.3017616271973,48.0370445251465,54.8598022460938,35.2569198608398,59.3614959716797,40.3793792724609,39.3394317626953,33.3264923095703,29.3153266906738,46.2087249755859,36.1902351379395,23.86842918396,42.7227897644043,20.4141941070557,44.4032173156738,36.3356132507324,46.9208908081055
2062,37.8671340942383,38.7301635742188,48.298225402832,53.1766395568848,38.2811012268066,30.3597316741943,29.8202304840088,30.9890689849854,29.5470657348633,36.0945739746094,40.4615898132324,31.3575477600098,36.5815963745117,27.6657657623291,42.0079803466797,39.464656829834,39.4955787658691,53.4907608032227,41.5678253173828,39.4332542419434,43.5257911682129,31.2196445465088,42.5820198059082
2063,22.6294612884521,52.6425361633301,32.612133026123,32.2498092651367,31.1719627380371,32.3030090332031,35.2090950012207,44.6806106567383,65.0178909301758,38.053108215332,29.6566276550293,27.309871673584,28.4496326446533,36.8978576660156,34.294921875,29.5684623718262,40.1856689453125,36.1052742004395,36.174243927002,32.4436302185059,25.2355499267578,61.0090103149414,40.221752166748
2064,22.33424949646,64.9096832275391,51.7686653137207,45.1199340820312,38.4783744812012,28.3988437652588,32.0970916748047,44.1426849365234,29.2765197753906,28.982551574707,34.1407432556152,33.5988693237305,36.4382133483887,24.1934986114502,36.8465690612793,50.0786933898926,39.3384895324707,41.1736488342285,37.9555778503418,31.4317321777344,56.3019866943359,49.9295272827148,47.7060165405273
2065,33.7523498535156,42.2554473876953,36.7649307250977,59.7144813537598,30.1953392028809,26.2849254608154,29.7714023590088,34.6162567138672,35.9380760192871,39.6332855224609,38.2083473205566,33.9885864257812,27.2735538482666,37.0895843505859,33.6425552368164,37.4310111999512,45.3155937194824,44.130973815918,64.0584945678711,31.7932357788086,29.9007968902588,52.7007484436035,67.2986373901367
2066,25.203685760498,36.3498878479004,28.3590698242188,29.5433826446533,26.4335556030273,22.6902866363525,30.1228332519531,36.6832695007324,41.567310333252,27.6574859619141,28.4288539886475,26.4087104797363,24.6606597900391,29.1820220947266,25.5501289367676,42.0143699645996,40.7618217468262,32.7878265380859,40.4431037902832,32.379711151123,35.866813659668,72.3531188964844,27.4283676147461
2067,30.0534534454346,46.8685493469238,42.1868667602539,35.8881530761719,42.3142852783203,35.9143180847168,44.0200538635254,37.2846717834473,46.6088256835938,29.2825584411621,28.459508895874,36.2301940917969,33.9743728637695,38.1287498474121,33.0590171813965,35.1034126281738,29.6686878204346,32.2968444824219,52.2643661499023,28.3621997833252,36.1126022338867,43.9471206665039,38.0873260498047
2068,18.2397155761719,60.9120292663574,36.3154563903809,51.5290336608887,39.3664207458496,34.4198989868164,47.3785209655762,35.0489883422852,52.0787315368652,53.9393577575684,36.5206909179688,30.2995872497559,28.5681266784668,27.9232273101807,28.8642711639404,46.5885429382324,25.228931427002,35.3161659240723,41.6750411987305,18.461576461792,44.2705879211426,64.9398651123047,42.4852066040039
2069,26.8252410888672,55.1004486083984,43.6148109436035,50.3391647338867,34.7084770202637,24.0089683532715,31.9981136322021,26.7584400177002,28.8282890319824,35.5159721374512,51.5547142028809,45.7882919311523,30.1693210601807,26.7718086242676,34.2839813232422,49.9724044799805,35.8519287109375,30.3641109466553,35.8130493164062,24.9652423858643,42.5218620300293,45.3019714355469,61.4284248352051
2070,37.0715103149414,46.384708404541,32.9521217346191,38.0184364318848,38.3060913085938,29.7557468414307,27.8326930999756,25.9665374755859,30.9633502960205,42.7162094116211,42.0832328796387,30.671703338623,49.5456275939941,32.1675682067871,45.7199935913086,41.766357421875,46.7993812561035,51.4351196289062,40.448127746582,50.2294235229492,40.3700904846191,75.4584503173828,53.3239593505859
2071,19.8481140136719,58.3339500427246,37.0357093811035,47.9853439331055,41.8881950378418,26.7651081085205,26.4714603424072,34.5226020812988,25.5125198364258,36.4854125976562,30.6317157745361,31.3902931213379,26.8204536437988,39.6580238342285,29.3571186065674,37.5825996398926,27.903341293335,28.0214538574219,57.5210609436035,24.2550716400146,35.175479888916,35.5165214538574,40.0050315856934
2072,31.4647121429443,72.5435409545898,54.3834114074707,43.9855117797852,42.910961151123,33.3335494995117,35.3518333435059,36.7110443115234,35.2337036132812,41.6999664306641,51.2853317260742,38.2699279785156,43.2406806945801,33.6608467102051,28.3337326049805,44.9964179992676,31.475414276123,32.416877746582,47.4424476623535,23.6777667999268,37.2283248901367,44.4230690002441,56.3472785949707
2073,36.8118553161621,37.9696960449219,34.2644996643066,55.6998748779297,30.0033588409424,54.0838661193848,33.3984718322754,32.9897155761719,43.4143295288086,42.1589050292969,47.2893028259277,34.7116661071777,33.4336891174316,35.2544021606445,42.2018508911133,39.2490158081055,34.0473937988281,43.2117500305176,37.9763031005859,35.0050506591797,44.8647537231445,49.1789817810059,55.997314453125
2074,42.1161460876465,62.0285148620605,56.0819358825684,38.6772079467773,40.9992713928223,34.8535804748535,43.5636100769043,46.2052001953125,43.9147682189941,45.5188217163086,50.0418663024902,39.3264808654785,32.8325653076172,34.9862937927246,53.7849235534668,37.8616142272949,31.2961044311523,69.2604827880859,55.544002532959,37.9416885375977,37.1222801208496,60.9147987365723,44.2474403381348
2075,25.2677421569824,46.1876373291016,63.1009902954102,58.8068962097168,52.5989570617676,24.4901237487793,32.0941543579102,49.9841423034668,38.8956871032715,32.2826347351074,45.2120780944824,63.5849990844727,31.3672561645508,23.2913074493408,28.3064155578613,40.4479103088379,27.4332656860352,40.488639831543,46.7879753112793,26.5318164825439,32.5697937011719,60.9066772460938,50.1833229064941
2076,26.7878570556641,53.7106018066406,46.1130142211914,53.8127632141113,36.0937652587891,27.6987915039062,30.0804576873779,44.828971862793,36.1945419311523,56.7877616882324,36.4807243347168,40.125431060791,42.1731147766113,30.9284496307373,35.5305938720703,49.1512298583984,28.1924362182617,39.6897163391113,36.558162689209,29.1267833709717,28.4504299163818,73.6456756591797,51.5801315307617
2077,26.1657199859619,53.4321556091309,57.543384552002,37.2594261169434,52.5995101928711,20.9742183685303,46.8609199523926,32.869441986084,43.4465599060059,27.2644805908203,36.6667861938477,60.4290924072266,22.2753067016602,32.3823776245117,36.2017822265625,51.0292434692383,34.5422630310059,35.2963523864746,47.4712066650391,31.0987205505371,27.8989810943604,47.133602142334,63.616569519043
2078,30.0198993682861,59.4428291320801,79.5048294067383,40.4090576171875,62.8249702453613,32.0697708129883,27.0780124664307,32.3251838684082,30.3313388824463,37.5532989501953,47.4916915893555,51.0307159423828,65.259147644043,38.2548675537109,43.5452537536621,42.526668548584,31.2701454162598,49.5235023498535,44.7234687805176,33.9703674316406,62.7909927368164,37.0694999694824,65.2128524780273
2079,26.8900775909424,82.8292083740234,55.0556335449219,49.8426628112793,38.809986114502,23.2978610992432,36.918041229248,26.256628036499,30.9180641174316,70.0665512084961,33.1673393249512,52.6800994873047,36.2816276550293,42.7130699157715,26.8206481933594,42.1141738891602,51.9169960021973,30.7484149932861,25.7729873657227,40.4175987243652,51.5530815124512,69.6702880859375,47.1510124206543
2080,21.1333599090576,43.8304595947266,39.403621673584,50.4536628723145,31.4906139373779,22.4592018127441,36.1703453063965,42.9111137390137,29.316801071167,42.0726165771484,39.9095001220703,33.440071105957,27.4090785980225,32.5532531738281,28.3727951049805,38.3543930053711,32.9904479980469,30.8292598724365,38.334285736084,24.7975063323975,33.944019317627,51.9340667724609,46.3589134216309
